,Sample,FakeorReal?
0,../data/croppedrdtest/016.jpg,0.99999875
1,../data/croppedrdtest/002.jpg,1.0
2,../data/croppedrdtest/003.jpg,1.0
3,../data/croppedrdtest/017.jpg,9.464013e-17
4,../data/croppedrdtest/001.jpg,1.0
5,../data/croppedrdtest/015.jpg,1.8777177e-10
6,../data/croppedrdtest/014.jpg,1.0
7,../data/croppedrdtest/004.jpg,1.0
8,../data/croppedrdtest/010.jpg,2.3772867e-10
9,../data/croppedrdtest/005.jpg,1.0
10,../data/croppedrdtest/011.png,0.94635224
11,../data/croppedrdtest/013.jpg,1.0
12,../data/croppedrdtest/007.jpg,1.0
13,../data/croppedrdtest/006.jpg,1.0
14,../data/croppedrdtest/012.jpg,0.013753831
15,../data/croppedrdtest/022.jpg,1.0
16,../data/croppedrdtest/008.png,7.16229e-23
17,../data/croppedrdtest/020.jpg,1.0
18,../data/croppedrdtest/021.jpg,1.0
19,../data/croppedrdtest/009.jpg,1.0
20,../data/croppedrdtest/019.jpg,1.0
21,../data/croppedrdtest/018.jpg,1.0
